,id,start,end,record,prog,duration,18?,US?,sex,age,trip_int,trip_dom,trip_risk,know_1,know_2,know_3,know_4,know_5,know_6,know_7,know_8,know_9,know_10,know_11,know_12,know_13,2_group_know_weighted_sum,3_group_know_weighted_sum,knowinf_1,knowinf_2,knowinf_3,knowinf_4,knowinf_5,knowinf_6,knowinf_7,knowinf_8,knowinf_9,knowinf_10,2_group_knowinf_weighted_sum,3_group_knowinf_weighted_sum,search,source_part,source_fam,source_fre,source_reli,source_doct,source_tv,source_radi,source_news,source_gov,source_soc,source_web,mainst_?,source_most,info_accu,info_upto,behav_1,behav_2,behav_3,behav_4,behav_5,behav_6,behav_7,behav_8,behav_9,behav_10,behav_11,behav_12,2_group_behav_weighted_sum,3_group_behav_weighted_sum,behav7_1,behav7_2,behav7_3,behav7_4,2_group_behav7_weighted_sum,3_group_behav7_weighted_sum,smoke,drink,sleep,trav_sev,trav_cruise,trav_plan_int,trav_plan_dom,percv_risk,3mon_cases,percv_sev,belief_1,belief_2,belief_3,belief_4,belief_5,belief_6,belief_7,belief_8,belief_9,belief_10,belief_11,belief_12,fedgov_resp,statgov_resp,threat_secur,threat_econ,threat_pers,attid_pol_1,attid_pol_2,attid_pol_3,attid_pol_4,attid_pol_5,attid_pol_6,attid_pol_7,optimism,vote_?,vote_1,vote_2,vote_3,vote_4,anx_1,anx_2,anx_3,anx_4,impact_1,impact_2,impact_3,impact_4,impact_5,impact_6,race,state,urban,work,healthcare,child,educ,polit
10,ID0014,3/20/2020 19:20,3/20/2020 19:36,3/20/2020 19:36,100,946,1,1,0,3,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,1,1,9,9,4,0,0,0,0,0,0,1,1,1,0,1,1,8,1,1,0,0,1,1,1,0,0,1,1,1,0,0,4.5,4.3,1,1,1,1,3,3.3,0,2,4,3,3,3,2,4,4,7,3,3,3,1,1,0,3,1,1,2,1,1,4,3,2,3,2,3,2,2,2,2,2,1,1,1,1,1,0,1,5,1,0,0,0,1,1,1,0,1,6,43,1,5,0,1,4,1
11,ID0015,3/20/2020 19:28,3/20/2020 19:45,3/20/2020 19:45,100,1024,1,1,1,3,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,8.5,8.7,1,0,0,1,1,0,1,1,1,1,6,6,4,1,0,1,0,0,1,0,0,1,1,1,1,8,1,1,0,0,1,1,1,0,0,1,1,1,1,0,5,4.7,1,1,1,1,3,3.3,3,3,3,3,3,0,0,3,3,5,3,3,3,1,3,3,3,1,0,2,2,0,10,7,3,3,2,1,1,2,3,2,3,3,3,1,0,1,1,1,5,2,5,2,1,5,2,0,2,1,6,40,1,5,0,0,1,1
12,ID0016,3/20/2020 19:32,3/20/2020 19:49,3/20/2020 19:49,100,998,1,1,0,2,0,0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,10,10,1,0,1,1,1,1,1,1,1,1,8,8,4,0,0,1,0,0,1,0,0,1,1,1,1,8,1,1,0,0,0,1,1,0,1,1,1,1,0,0,4.5,4,0,1,1,1,2.5,2.7,0,0,3,3,3,3,3,5,4,5,3,3,2,0,0,1,3,3,0,3,1,0,2,5,2,2,2,3,3,3,3,1,3,3,0,1,1,1,1,1,5,5,1,0,5,5,5,0,5,0,6,29,2,1,1,0,2,0
13,ID0018,3/20/2020 19:37,3/20/2020 19:53,3/20/2020 19:53,100,948,1,1,0,4,0,1,2,1,1,1,0,1,1,1,1,1,1,0,1,0,8,8,1,0,0,1,1,1,1,1,1,1,7,7,3,0,0,0,0,0,1,0,0,1,1,0,1,5,1,1,0,0,1,1,1,0,1,1,1,1,1,0,5.5,5,0,1,0,1,2,2,3,0,3,3,3,3,3,5,2,7,2,2,1,1,2,1,3,2,1,1,2,1,4,5,1,2,2,2,1,2,3,3,3,2,2,1,1,0,0,1,1,1,1,1,1,2,2,2,2,2,6,45,3,5,0,0,1,3
14,ID0024,3/20/2020 20:18,3/20/2020 20:29,3/20/2020 20:29,100,636,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,1,1,1,1,1,1,9,9,4,1,1,1,0,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1,1,0,1,1,1,1,1,1,6,5.3,1,1,1,1,3,3.3,0,0,5,3,3,3,3,5,3,5,3,3,0,0,1,1,2,2,1,2,2,2,6,9,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,3,1,0,0,1,1
15,ID0025,3/20/2020 20:14,3/20/2020 20:32,3/20/2020 20:32,100,1121,1,1,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,0,1,1,1,1,1,1,1,8,8,4,0,0,0,0,0,1,0,1,1,1,1,1,8,1,0,0,0,1,1,0,0,0,1,1,1,0,0,4,4,0,1,0,1,2,2,5,3,2,3,3,3,2,6,3,8,3,3,3,0,0,2,3,3,1,1,2,0,6,4,3,3,2,1,3,3,3,3,3,2,0,1,1,1,1,1,5,5,1,2,2,1,2,1,1,1,6,32,2,1,0,0,3,1
16,ID0026,3/20/2020 19:53,3/20/2020 20:33,3/20/2020 20:33,100,2404,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,9,9,1,1,0,1,1,1,1,1,1,1,8,8,4,1,1,1,0,0,1,1,1,1,1,1,1,8,0,1,0,0,1,1,1,0,1,1,1,1,0,0,5,4.7,0,1,1,1,2.5,2.7,0,4,2,3,3,3,3,8,4,7,3,3,0,0,1,1,3,1,0,2,1,0,3,5,1,3,2,1,1,2,2,3,3,3,1,1,0,1,1,1,5,5,5,5,5,5,5,2,1,5,6,23,3,1,0,1,2,3
17,ID0027,3/20/2020 20:26,3/20/2020 20:40,3/20/2020 20:40,100,837,1,1,0,4,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,0,1,0,1,1,1,1,1,1,1,7,7,4,0,0,0,0,1,1,0,0,1,0,0,1,8,1,1,0,0,1,1,1,0,1,1,1,1,0,0,5,4.7,0,1,0,1,2,2,0,3,3,3,3,3,3,3,3,8,3,3,3,0,0,2,3,2,2,2,1,0,7,9,2,3,3,2,1,1,3,3,3,3,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,6,35,2,5,0,0,2,2
18,ID0029,3/20/2020 21:01,3/20/2020 21:15,3/20/2020 21:15,100,807,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,0,1,1,1,1,1,1,1,8,8,4,1,0,1,0,0,1,0,1,1,1,1,1,8,1,1,0,0,1,1,1,0,0,1,1,1,0,0,4.5,4.3,0,1,1,1,2.5,2.7,0,0,3,3,3,3,3,5,3,7,3,3,3,1,1,1,2,1,1,2,3,1,2,1,1,3,3,1,2,3,3,3,2,2,2,1,1,1,1,1,5,1,1,0,1,1,1,1,1,0,6,25,1,6,0,1,2,1
19,ID0032,3/21/2020 2:01,3/21/2020 2:13,3/21/2020 2:13,100,732,1,1,1,1,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,0,1,1,1,1,1,1,1,8,8,4,1,0,0,0,1,0,0,1,1,1,1,1,8,1,0,0,0,0,1,1,1,1,1,1,1,0,0,5,4.3,0,1,0,1,2,2,0,3,3,3,3,3,3,5,6,5,3,3,2,0,1,1,3,3,0,3,1,0,2,3,3,3,3,3,1,3,2,3,3,2,1,1,1,1,1,1,5,2,1,1,2,5,1,0,0,2,6,14,3,1,0,1,2,2
